id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,platform_currency,first_priced_at
TUSD,TUSD,TUSD,TrueUSD,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/tusd.svg,active,1.00317753,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,1203611655,1203611655,1207436163,0.0013,133,864,63,2018-03-06T00:00:00Z,2018-03-06T00:00:00Z,2018-08-29T00:00:00Z,43,3,1.08792962,2018-05-21T00:00:00Z,71576936.35,0.0023082829,0.0023,-16795301.29,-0.1901,2510617.61,0.0021,ETH,
FIL,FIL,FIL,Filecoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/FIL.png,active,5.35962225,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,225077988,2000000000,1206332992,0.0013,115,385,1,2017-11-03T00:00:00Z,2017-11-23T00:00:00Z,2019-06-04T00:00:00Z,44,0,190.85719775,2021-03-31T00:00:00Z,155987604.79,-0.22687150,-0.0406,-17456264.30,-0.1006,-49215321.56,-0.0392,,
THETA,THETA,THETA,Theta Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/theta.png,active,1.19788045,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,1000000000,1000000000,1197880446,0.0013,68,161,0,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z,2018-08-29T00:00:00Z,45,-2,14.33849362,2021-04-16T00:00:00Z,115318075.70,-0.086219679,-0.0671,-2347375.59,-0.0199,-86219679.01,-0.0671,THETA,
HELIUM,HELIUM,HNT,Helium,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/HELIUM.jpeg,active,9.33614140,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,122328391,,1142075153,0.0012,29,52,0,2020-04-17T00:00:00Z,2020-09-15T00:00:00Z,2020-04-17T00:00:00Z,46,-1,52.82083239,2021-11-14T00:00:00Z,33148111.69,-0.68760666,-0.0686,3622415.40,0.1227,-83326079.24,-0.0680,,
EGLD,EGLD,EGLD,Elrond,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/EGLD.jpeg,active,48.99103419,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,22585686,23915686,1106496115,0.0012,58,107,15,2020-09-02T00:00:00Z,2020-09-03T00:00:00Z,2020-09-03T00:00:00Z,47,0,493.70317262,2021-11-22T00:00:00Z,70140696.12,-3.76219493,-0.0713,1002812.26,0.0145,-84692794.30,-0.0711,,
1INCH,1INCH,1INCH,1inch,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/1INCH.jpg,active,0.74298603,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,1471811644,1500000000,1093535492,0.0012,118,346,4,2018-12-17T00:00:00Z,2020-12-25T00:00:00Z,2019-02-14T00:00:00Z,48,0,7.50614728,2021-05-08T00:00:00Z,257982699.13,-0.021451356,-0.0281,-405557675.93,-0.6112,-31572355.68,-0.0281,ETH,2020-12-28T18:53:34.959468Z
BSV,BSV,BSV,Bitcoin SV,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BSV.png,active,56.23923249,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,19084883,21000000,1073319166,0.0012,146,731,135,2017-07-09T00:00:00Z,2018-11-08T00:00:00Z,2018-11-13T00:00:00Z,49,0,441.03610937,2021-04-16T00:00:00Z,48983804.78,-1.45030897,-0.0251,-1445377.89,-0.0287,-27678976.86,-0.0251,,
LUNA,LUNA,LUNC,Terra Luna Classic,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/LUNA.png,active,0.00016365153,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,6536407736540,6907072876045,1069693135,0.0012,93,219,19,2019-06-05T00:00:00Z,2019-07-26T00:00:00Z,2019-07-04T00:00:00Z,50,7,116.61080121,2022-04-04T00:00:00Z,917114049.62,0.000034768387,0.2698,454051611.77,0.9805,227260350.73,0.2698,LUNA,
CRI,CRI,CRI,Crypto International,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CRI.png,active,0.50866311,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,1965416446,10000020856,999734837,0.0011,6,17,0,2021-11-14T00:00:00Z,2021-11-14T00:00:00Z,2021-11-14T00:00:00Z,51,1,0.50984223,2022-06-29T00:00:00Z,912262.21,0.00089864607,0.0018,-36675.42,-0.0386,1766213.76,0.0018,ETH,2022-03-10T23:23:42.193271Z
AXS2,AXS2,AXS,Axie Infinity,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AXS2.jpg,active,13.99767084,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,71046952,270000000,994491841,0.0011,117,249,3,2018-12-12T00:00:00Z,2020-11-04T00:00:00Z,2020-11-04T00:00:00Z,52,-2,160.73713447,2021-11-07T00:00:00Z,310156055.14,-1.48361316,-0.0958,-89303106.77,-0.2236,-105406192.15,-0.0958,ETH,2020-11-09T16:49:37.895041Z
